recno,HD,HR,HIP,Fl,Bayer,Cst,SimbadName
2549,149212,6161,80650,15,A,Dra,HD 149212
2550,149324,6163,81852,,bet,Aps,HD 149324
2551,149420,,81066,32,,Her,HD 149420
2552,149438,6165,81266,23,tau,Sco,HD 149438
2553,149447,6166,81304,,H,Sco,HD 149447
2554,149630,6168,81126,35,sig,Her,HD 149630
2555,149661,6171,81300,12,,Oph,HD 149661
2556,149671,6172,81710,,eta01,TrA,HD 149671
2557,149730,,81589,,R,Ara,HD 149730
2558,149757,6175,81377,13,zet,Oph,HD 149757
2559,150100,6184,81290,16,,Dra,HD 150100
2560,150117,6185,81292,17,,Dra,HD 150117
2562,150378,6195,81641,37,,Her,HD 150378
2563,150379,6194,81634,36,,Her,HD 150379
2564,150416,6196,81724,24,,Sco,HD 150416
2565,150450,6200,81497,42,,Her,HD 150450
2566,150557,6205,81734,14,,Oph,HD 150557
2567,150680,6212,81693,40,zet,Her,HD 150680
2568,150682,6213,81729,39,,Her,HD 150682
2569,150798,6217,82273,,alf,TrA,HD 150798
2570,150997,6220,81833,44,eta,Her,HD 150997
2571,151090,,81991,41,,Her,HD 151090
2572,151101,6223,81660,18,g,Dra,HD 151101
2573,151133,6224,82037,16,,Oph,HD 151133
2574,151179,6225,82140,25,,Sco,HD 151179
2575,151217,6228,82073,43,i,Her,HD 151217
2576,151249,6229,82363,,eta,Ara,HD 151249
2577,151431,6232,82162,19,,Oph,HD 151431
2578,151525,6234,82216,45,l,Her,HD 151525
2580,151680,6241,82396,26,eps,Sco,HD 151680
2581,151769,6243,82369,20,,Oph,HD 151769
2582,151890,6247,82514,,mu.01,Sco,HD 151890
2583,151937,,82324,48,,Her,HD 151937
2584,151956,6250,82402,47,k,Her,HD 151956
2585,151985,6252,82545,,mu.02,Sco,HD 151985
2586,152107,6254,82321,52,,Her,HD 152107
2587,152127,6255,82480,21,,Oph,HD 152127
2588,152173,6258,82422,50,,Her,HD 152173
2589,152236,6262,82671,,zet01,Sco,HD 152236
2591,152308,6268,82526,49,,Her,HD 152308
2592,152326,6270,82504,51,,Her,HD 152326
2593,152334,6271,82729,,zet02,Sco,HD 152334
2595,152598,6279,82587,53,,Her,HD 152598
2596,152601,6280,82730,23,,Oph,HD 152601
2597,152614,6281,82673,25,iot,Oph,HD 152614
2598,152783,,82912,,RR,Sco,HD 152783
2599,152786,6285,83081,,zet,Ara,HD 152786
2600,152820,6288,82960,27,,Sco,HD 152820
2601,152849,6291,82925,24,,Oph,HD 152849
2602,152863,6292,82780,56,,Her,HD 152863
2603,152879,6293,82802,54,,Her,HD 152879
2604,152980,6295,83153,,eps01,Ara,HD 152980
2605,153210,6299,83000,27,kap,Oph,HD 153210
2606,153287,6305,82987,57,,Her,HD 153287
2607,153363,6310,83196,26,,Oph,HD 153363
2608,153580,6314,83431,,eps02,Ara,HD 153580
2609,153597,6315,82860,19,h,Dra,HD 153597
2610,153687,6318,83262,30,,Oph,HD 153687
2611,153697,6319,82898,20,,Dra,HD 153697
2612,153727,6321,83331,29,,Oph,HD 153727
2613,153751,6322,82080,22,eps,UMi,HD 153751
2614,153808,6324,83207,58,eps,Her,HD 153808
2615,154029,6332,83313,59,d,Her,HD 154029
2616,154090,6334,83574,,k,Sco,HD 154090
2617,154143,6337,83430,32,,Oph,HD 154143
2618,154356,6346,83462,61,,Her,HD 154356
2619,154494,6355,83613,60,,Her,HD 154494
2621,154905,6369,83608,21,mu.,Dra,HD 154905
2623,155103,6377,83838,,c,Her,HD 155103
2624,155125,6378,84012,35,eta,Oph,HD 155125
2625,155203,6380,84143,,eta,Sco,HD 155203
2626,155514,6391,84054,63,,Her,HD 155514
2627,155644,6393,84177,37,,Oph,HD 155644
2628,155763,6396,83895,22,zet,Dra,HD 155763
2629,155885,6401,84405,36,A,Oph,HD 155885
2631,156014,6406,84345,64,alf01,Her,HD 156014
2633,156164,6410,84379,65,del,Her,HD 156164
2634,156190,6411,84979,,iot,Aps,HD 156190
2635,156247,6414,84500,38,U,Oph,HD 156247
2636,156266,6415,84514,41,,Oph,HD 156266
2637,156277,6417,84969,,zet,Aps,HD 156277
2638,156283,6418,84380,67,pi.,Her,HD 156283
2639,156349,6424,84626,39,omi,Oph,HD 156349
2640,156350,6425,84625,39,omi,Oph,HD 156350
2641,156633,6431,84573,68,u,Her,HD 156633
2642,156681,6433,84671,,e,Oph,HD 156681
2643,156729,6436,84606,69,e,Her,HD 156729
2644,156897,6445,84893,40,ksi,Oph,HD 156897
2645,156928,6446,84880,53,nu.,Ser,HD 156928
2646,156947,6448,84496,,VW,Dra,HD 156947
2647,156979,,85035,,V636,Sco,HD 156979
2648,157042,6451,85079,,iot,Ara,HD 157042
2649,157056,6453,84970,42,the,Oph,HD 157056
2650,157198,6457,84887,70,,Her,HD 157198
2651,157214,6458,84862,72,w,Her,HD 157214
2652,157236,6459,85084,43,,Oph,HD 157236
2653,157244,6461,85258,,bet,Ara,HD 157244
2654,157246,6462,85267,,gam,Ara,HD 157246
2655,157325,6464,84835,74,,Her,HD 157325
2656,157457,6468,85312,,kap,Ara,HD 157457
2657,157728,6480,85157,73,,Her,HD 157728
2658,157778,6484,85112,75,rho,Her,HD 157778
2660,157792,6486,85340,44,b,Oph,HD 157792
2661,157919,6492,85423,45,d,Oph,HD 157919
2662,157950,6493,85365,47,,Oph,HD 157950
2663,157999,6498,85355,49,sig,Oph,HD 157999
2664,158094,6500,85727,,del,Ara,HD 158094
2665,158408,6508,85696,34,ups,Sco,HD 158408
2666,158414,6509,85379,77,x,Her,HD 158414
2667,158427,6510,85792,,alf,Ara,HD 158427
2668,158643,6519,85755,51,c,Oph,HD 158643
2669,158899,6526,85693,76,lam,Her,HD 158899
2670,158926,6527,85927,35,lam,Sco,HD 158926
2671,159139,6533,85790,78,,Her,HD 159139
2672,159181,6536,85670,23,bet,Dra,HD 159181
2673,159217,6537,86092,,sig,Ara,HD 159217
2674,159376,6545,86060,52,,Oph,HD 159376
2675,159433,6546,86170,,Q,Sco,HD 159433
2676,159480,6548,85998,53,f,Oph,HD 159480
2677,159492,6549,86305,,pi.,Ara,HD 159492
2678,159532,6553,86228,,the,Sco,HD 159532
2679,159541,6554,85819,24,nu.01,Dra,HD 159541
2680,159560,6555,85829,25,nu.02,Dra,HD 159560
2681,159561,6556,86032,55,alf,Oph,HD 159561
2682,159876,6561,86263,55,ksi,Ser,HD 159876
2683,159966,6566,85805,27,f,Dra,HD 159966
2684,159975,6567,86284,57,mu.,Oph,HD 159975
2685,160032,6569,86486,,lam,Ara,HD 160032
2686,160181,6571,86254,79,,Her,HD 160181
2687,160269,6573,86036,26,,Dra,HD 160269
2688,160290,6574,86182,82,y,Her,HD 160290
2689,160538,,85852,29,,Dra,HD 160538
2690,160578,6580,86670,,kap,Sco,HD 160578
2691,160613,6581,86565,56,omi,Ser,HD 160613
2692,160635,6582,86929,,eta,Pav,HD 160635
2693,160691,6585,86796,,mu.,Ara,HD 160691
2694,160762,6588,86414,85,iot,Her,HD 160762
2695,160915,6595,86736,58,,Oph,HD 160915
2696,160922,6596,86201,28,ome,Dra,HD 160922
2697,161074,6602,86667,83,,Her,HD 161074
2698,161096,6603,86742,60,bet,Oph,HD 161096
2699,161239,6608,86731,84,,Her,HD 161239
2700,161270,6609,86831,61,,Oph,HD 161270
2701,161471,6615,87073,,iot01,Sco,HD 161471
2702,161592,6616,87072,3,X,Sgr,HD 161592
2703,161783,6622,87314,,ups01,Ara,HD 161783
2704,161797,6623,86974,86,mu.,Her,HD 161797
2705,161868,6629,87108,62,gam,Oph,HD 161868
2706,161892,6630,87261,,G,Sco,HD 161892
2707,161912,6631,87294,,iot02,Sco,HD 161912
2708,161917,6632,87379,,ups02,Ara,HD 161917
2709,162003,6636,86614,31,psi,Dra,HD 162003
2710,162004,6637,86620,31,psi,Dra,HD 162004
2711,162211,6644,87194,87,,Her,HD 162211
2712,162579,6656,87212,30,,Dra,HD 162579
2713,162714,6661,87495,,Y,Oph,HD 162714
2714,162732,6664,87280,88,z,Her,HD 162732
2715,162978,6672,87706,63,,Oph,HD 162978
2716,163217,6677,87563,90,f,Her,HD 163217
2717,163506,6685,87747,89,,Her,HD 163506
2718,163588,6688,87585,32,ksi,Dra,HD 163588
2719,163770,6695,87808,91,the,Her,HD 163770
2720,163917,6698,88048,64,nu.,Oph,HD 163917
2721,163955,6700,88116,4,,Sgr,HD 163955
2722,163989,6701,87234,35,,Dra,HD 163989
2723,163990,6702,87850,,OP,Her,HD 163990
2724,163993,6703,87933,92,ksi,Her,HD 163993
2725,164058,6705,87833,33,gam,Dra,HD 164058
2726,164136,6707,87998,94,nu.,Her,HD 164136
2727,164259,6710,88175,57,zet,Ser,HD 164259
2728,164284,6712,88149,66,,Oph,HD 164284
2729,164349,6713,88128,93,,Her,HD 164349
2730,164353,6714,88192,67,,Oph,HD 164353
2731,164358,6715,88258,6,,Sgr,HD 164358
2732,164461,6721,92824,,chi,Oct,HD 164461
2733,164577,6723,88290,68,,Oph,HD 164577
2734,164584,6724,88380,7,,Sgr,HD 164584
2735,164613,6725,87728,34,,Dra,HD 164613
2736,164668,6729,88267,95,,Her,HD 164668
2738,164764,6733,88404,69,tau,Oph,HD 164764
2740,164794,6736,88469,9,,Sgr,HD 164794
2741,164852,6738,88331,96,,Her,HD 164852
2742,164900,6741,88346,97,,Her,HD 164900
2743,164975,6742,88567,,W,Sgr,HD 164975
2744,165024,6743,88714,,the,Ara,HD 165024
2745,165040,6745,88866,,pi.,Pav,HD 165040
2746,165135,6746,88635,10,gam,Sgr,HD 165135
2747,165174,6747,88522,,V986,Oph,HD 165174
2748,165341,6752,88601,70,p,Oph,HD 165341
2749,165499,6761,89042,,iot,Pav,HD 165499
2750,165625,6765,88657,98,,Her,HD 165625
2751,165760,6770,88765,71,,Oph,HD 165760
2752,165777,6771,88771,72,,Oph,HD 165777
2753,165908,6775,88745,99,b,Her,HD 165908
2754,166014,6779,88794,103,omi,Her,HD 166014
2755,166045,6781,88818,100,,Her,HD 166045
2756,166046,6782,88817,100,,Her,HD 166046
2757,166063,6783,89112,,eps,Tel,HD 166063
2758,166182,6787,88886,102,,Her,HD 166182
2759,166205,6789,85822,23,del,UMi,HD 166205
2760,166230,6794,88899,101,,Her,HD 166230
2761,166233,6795,88964,73,,Oph,HD 166233
2762,166464,6801,89153,11,,Sgr,HD 166464
2763,166865,6809,88127,40,,Dra,HD 166865
2764,166866,6810,88136,41,,Dra,HD 166866
2765,166926,6811,85699,24,,UMi,HD 166926
2766,166937,6812,89341,13,mu.,Sgr,HD 166937
2767,167006,6815,89172,104,A,Her,HD 167006
2768,167036,6816,89369,14,,Sgr,HD 167036
2769,167263,6823,89440,16,,Sgr,HD 167263
2770,167264,6822,89439,15,,Sgr,HD 167264
2771,167468,6829,90133,,phi,Oct,HD 167468
2772,167570,,89567,17,,Sgr,HD 167570
2773,167618,6832,89642,,eta,Sgr,HD 167618
2774,167647,6833,89637,,RS,Sgr,HD 167647
2775,168151,6850,89348,36,,Dra,HD 168151
2776,168339,6855,90098,,ksi,Pav,HD 168339
2777,168454,6859,89931,19,del,Sgr,HD 168454
2778,168532,6860,89773,105,,Her,HD 168532
2779,168608,6863,89968,,Y,Sgr,HD 168608
2780,168653,6865,89448,37,,Dra,HD 168653
2781,168656,6866,89918,74,,Oph,HD 168656
2782,168720,6868,89861,106,,Her,HD 168720
2783,168723,6869,89962,58,eta,Ser,HD 168723
2784,168775,6872,89826,1,kap,Lyr,HD 168775
2785,168913,6876,89925,108,,Her,HD 168913
2786,168914,6877,89935,107,t,Her,HD 168914
2787,169022,6879,90185,20,eps,Sgr,HD 169022
2788,169027,,89594,38,,Dra,HD 169027
2789,169156,6884,90135,,zet,Sct,HD 169156
2790,169233,6888,90260,18,,Sgr,HD 169233
2791,169414,6895,90139,109,,Her,HD 169414
2792,169420,6896,90289,21,,Sgr,HD 169420
2793,169467,6897,90422,,alf,Tel,HD 169467
2794,169702,6903,90191,2,mu.,Lyr,HD 169702
2795,169767,6905,90568,,zet,Tel,HD 169767
2796,169916,6913,90496,22,lam,Sgr,HD 169916
2797,169978,6916,90797,,nu.,Pav,HD 169978
2798,169985,6918,90441,59,d,Ser,HD 169985
2800,170000,6920,89908,43,phi,Dra,HD 170000
2801,170073,6923,90156,39,b,Dra,HD 170073
2802,170153,6927,89937,44,chi,Dra,HD 170153
2803,170296,6930,90595,,gam,Sct,HD 170296
2804,170465,6934,90830,,del01,Tel,HD 170465
2805,170474,6935,90642,60,c,Ser,HD 170474
2806,170523,6938,90853,,del02,Tel,HD 170523
2807,170693,6945,90344,42,,Dra,HD 170693
2808,170845,6951,90982,,the,CrA,HD 170845
2809,170867,6953,90969,,kap01,CrA,HD 170867
2810,170868,6952,90968,,kap02,CrA,HD 170868
2811,170920,6957,90844,61,,Ser,HD 170920
2812,171115,6961,91004,24,,Sgr,HD 171115
2813,171237,6965,91066,25,,Sgr,HD 171237
2814,171443,6973,91117,,alf,Sct,HD 171443
2815,171635,6978,90905,45,d,Dra,HD 171635
2816,171759,6982,91792,,zet,Pav,HD 171759
2817,171978,6993,91322,,e,Ser,HD 171978
2818,172167,7001,91262,3,alf,Lyr,HD 172167
2819,172380,7009,91373,,XY,Lyr,HD 172380
2820,172546,7011,91689,26,,Sgr,HD 172546
2821,172748,7020,91726,,del,Sct,HD 172748
2822,172777,7021,91875,,lam,CrA,HD 172777
2823,173009,7032,91845,,eps,Sct,HD 173009
2824,173168,7036,92294,,the,Pav,HD 173168
2825,173300,7039,92041,27,phi,Sgr,HD 173300
2826,173370,7040,91975,4,,Aql,HD 173370
2827,173460,7046,92111,28,,Sgr,HD 173460
2828,173524,7049,91755,46,c,Dra,HD 173524
2829,173540,7050,92226,,mu.,CrA,HD 173540
2830,173582,7051,91919,4,eps01,Lyr,HD 173582
2832,173607,7053,91926,5,eps02,Lyr,HD 173607
2834,173648,7056,91971,6,zet01,Lyr,HD 173648
2835,173649,7057,91973,7,zet02,Lyr,HD 173649
2836,173654,7059,92117,5,,Aql,HD 173654
2837,173667,7061,92043,110,,Her,HD 173667
2838,173715,7062,92308,,eta01,CrA,HD 173715
2839,173764,7063,92175,,bet,Sct,HD 173764
2840,173819,7066,92202,,R,Sct,HD 173819
2841,173861,7068,92382,,eta02,CrA,HD 173861
2842,173880,7069,92161,111,,Her,HD 173880
2843,173948,7074,92609,,lam,Pav,HD 173948
2844,174116,7078,92390,29,,Sgr,HD 174116
2845,174295,7087,92646,,kap,Tel,HD 174295
2846,174309,7088,92480,30,,Sgr,HD 174309
2847,174343,,92204,205,,Dra,HD 174343
2848,174585,7100,92398,8,nu.01,Lyr,HD 174585
2849,174589,7101,92524,8,,Aql,HD 174589
2850,174602,7102,92405,9,nu.,Lyr,HD 174602
2851,174638,7106,92420,10,bet,Lyr,HD 174638
2854,174694,7107,93015,,kap,Pav,HD 174694
2855,174933,7113,92614,112,,Her,HD 174933
2856,174947,7114,92747,33,,Sgr,HD 174947
2857,174974,7116,92761,32,nu.01,Sgr,HD 174974
2858,175190,7120,92845,35,nu.02,Sgr,HD 175190
2859,175191,7121,92855,34,sig,Sgr,HD 175191
2860,175286,7124,92112,50,,Dra,HD 175286
2861,175306,7125,92512,47,omi,Dra,HD 175306
2862,175329,7127,93163,,ome,Pav,HD 175329
2863,175426,7131,92728,11,del01,Lyr,HD 175426
2864,175492,7133,92818,113,,Her,HD 175492
2866,175510,7134,93148,,lam,Tel,HD 175510
2867,175515,7135,92872,62,,Ser,HD 175515
2868,175588,7139,92791,12,del02,Lyr,HD 175588
2869,175638,7141,92946,63,the01,Ser,HD 175638
2870,175639,7142,92951,63,the02,Ser,HD 175639
2871,175687,7145,93057,36,ksi01,Sgr,HD 175687
2872,175751,7149,93026,,eta,Sct,HD 175751
2873,175775,7150,93085,37,ksi02,Sgr,HD 175775
2874,175813,7152,93174,,eps,CrA,HD 175813
2875,175865,7157,92862,13,R,Lyr,HD 175865
2876,175869,7158,93051,64,,Ser,HD 175869
2877,176155,7165,93124,,FF,Aql,HD 176155
2878,176232,7167,93179,10,,Aql,HD 176232
2879,176303,7172,93203,11,,Aql,HD 176303
2880,176408,7175,92997,48,,Dra,HD 176408
2881,176411,7176,93244,13,eps,Aql,HD 176411
2882,176437,7178,93194,14,gam,Lyr,HD 176437
2883,176524,7180,92782,52,ups,Dra,HD 176524
2884,176638,7188,93542,,zet,CrA,HD 176638
2885,176670,7192,93279,15,lam,Lyr,HD 176670
2886,176678,7193,93429,12,i,Aql,HD 176678
2887,176687,7194,93506,38,zet,Sgr,HD 176687
2888,176984,7209,93526,14,g,Aql,HD 176984
2889,177171,7213,93815,,rho,Tel,HD 177171
2890,177196,7215,93408,16,,Lyr,HD 177196
2891,177241,7217,93683,39,omi,Sgr,HD 177241
2892,177249,7218,93340,49,,Dra,HD 177249
2893,177463,7225,93717,15,h,Aql,HD 177463
2894,177474,7226,93825,,gam,CrA,HD 177474
2896,177482,7228,104382,,sig,Oct,HD 177482
2897,177716,7234,93864,40,tau,Sgr,HD 177716
2898,177724,7235,93747,17,zet,Aql,HD 177724
2899,177756,7236,93805,16,lam,Aql,HD 177756
2900,177873,7242,94005,,del,CrA,HD 177873
2902,178125,7248,93867,18,,Aql,HD 178125
2903,178207,7251,93713,51,,Dra,HD 178207
2904,178253,7254,94114,,alf,CrA,HD 178253
2905,178345,7259,94160,,bet,CrA,HD 178345
2906,178449,7261,93917,17,,Lyr,HD 178449
2907,178475,7262,93903,18,iot,Lyr,HD 178475
2908,178524,7264,94141,41,pi.,Sgr,HD 178524
2909,178596,7266,94068,19,,Aql,HD 178596
2910,179009,7274,94724,,tau,Pav,HD 179009
2911,179406,7279,94385,20,,Aql,HD 179406
2912,179527,7283,94311,19,,Lyr,HD 179527
2913,179761,7287,94477,21,,Aql,HD 179761
2914,179933,7290,94140,55,,Dra,HD 179933
2915,179950,7292,94643,42,psi,Sgr,HD 179950
2916,180006,7295,94302,53,,Dra,HD 180006
2917,180093,7296,94730,,RY,Sgr,HD 180093
2918,180163,7298,94481,20,eta,Lyr,HD 180163
2919,180317,7301,94620,1,,Sge,HD 180317
2920,180482,7303,94727,22,,Aql,HD 180482
2921,180540,7304,94820,43,d,Sgr,HD 180540
2922,180554,7306,94703,1,,Vul,HD 180554
2923,180610,7309,94490,54,,Dra,HD 180610
2924,180711,7310,94376,57,del,Dra,HD 180711
2925,180777,7312,94083,59,,Dra,HD 180777
2926,180809,7314,94713,21,the,Lyr,HD 180809
2927,180868,7315,94834,25,ome01,Aql,HD 180868
2928,180968,7318,94827,2,,Vul,HD 180968
2929,180972,7319,94885,23,,Aql,HD 180972
2930,181053,7321,94913,24,,Aql,HD 181053
2931,181182,7326,94910,,U,Sge,HD 181182
2932,181276,7328,94779,1,kap,Cyg,HD 181276
2933,181296,7329,95261,,eta,Tel,HD 181296
2934,181333,7331,94982,28,A,Aql,HD 181333
2935,181383,7332,95002,29,ome02,Aql,HD 181383
2936,181391,7333,95066,26,f,Aql,HD 181391
2937,181440,7336,95073,27,d,Aql,HD 181440
2938,181454,7337,95241,,bet01,Sgr,HD 181454
2939,181577,7340,95168,44,rho01,Sgr,HD 181577
2940,181615,7342,95176,46,ups,Sgr,HD 181615
2941,181623,7343,95294,,bet02,Sgr,HD 181623
2942,181645,7344,95188,45,rho02,Sgr,HD 181645
2943,181869,7348,95347,,alf,Sgr,HD 181869
2944,181984,7352,94648,60,tau,Dra,HD 181984
2945,182255,7358,95260,3,,Vul,HD 182255
2946,182369,7362,95477,47,chi01,Sgr,HD 182369
2947,182391,,95486,48,chi02,Sgr,HD 182391
2948,182416,7363,95503,49,chi03,Sgr,HD 182416
2949,182490,7369,95398,2,,Sge,HD 182490
2950,182564,7371,95081,58,pi.,Dra,HD 182564
2951,182568,7372,95372,2,,Cyg,HD 182568
2952,182571,,95435,3,,Sge,HD 182571
2953,182572,7373,95447,31,b,Aql,HD 182572
2954,182629,7375,95564,50,,Sgr,HD 182629
2955,182640,7377,95501,30,del,Aql,HD 182640
2956,182762,7385,95498,4,,Vul,HD 182762
2957,182835,7387,95585,32,nu.,Aql,HD 182835
2958,182919,7390,95560,5,,Vul,HD 182919
2959,183028,7393,95932,,mu.,Tel,HD 183028
2960,183030,7394,84535,,lam,UMi,HD 183030
2961,183056,7395,95556,4,,Cyg,HD 183056
2962,183324,7400,95793,35,c,Aql,HD 183324
2963,183344,7402,95820,,U,Aql,HD 183344
2964,183439,7405,95771,6,alf,Vul,HD 183439
2965,183491,7406,95785,8,,Vul,HD 183491
2966,183534,7408,95656,7,,Cyg,HD 183534
2967,183537,7409,95818,7,,Vul,HD 183537
2968,183556,,95154,,UX,Dra,HD 183556
2969,183630,7414,95937,36,e,Aql,HD 183630
2970,183912,7417,95947,6,bet01,Cyg,HD 183912
2971,183914,7418,95951,6,bet02,Cyg,HD 183914
2972,184006,7420,95853,10,iot,Cyg,HD 184006
2973,184127,7424,96341,,iot,Tel,HD 184127
2974,184171,7426,96052,8,,Cyg,HD 184171
2975,184406,7429,96229,38,mu.,Aql,HD 184406
2976,184492,7430,96327,37,,Aql,HD 184492
2977,184552,7431,96406,51,h01,Sgr,HD 184552
2978,184606,7437,96275,9,,Vul,HD 184606
2979,184707,7440,96465,52,h02,Sgr,HD 184707
2980,184759,7441,96302,9,,Cyg,HD 184759
2981,184915,7446,96483,39,kap,Aql,HD 184915
2982,184930,7447,96468,41,iot,Aql,HD 184930
2983,185037,7457,96387,11,,Cyg,HD 185037
2984,185124,7460,96556,42,,Aql,HD 185124
2985,185144,7462,96100,61,sig,Dra,HD 185144
2986,185194,7463,96516,4,eps,Sge,HD 185194
2987,185395,7469,96441,13,the,Cyg,HD 185395
2988,185404,7470,96729,53,,Sgr,HD 185404
2990,185507,7474,96665,44,sig,Aql,HD 185507
2991,185644,7476,96808,54,e01,Sgr,HD 185644
2992,185734,7478,96683,12,phi,Cyg,HD 185734
2993,185758,7479,96757,5,alf,Sge,HD 185758
2994,185762,7480,96807,45,,Aql,HD 185762
2995,185872,7483,96693,14,,Cyg,HD 185872
2996,185936,7486,96840,,QS,Aql,HD 185936
2997,185958,7488,96837,6,bet,Sge,HD 185958
2998,186005,7489,96950,55,e02,Sgr,HD 186005
2999,186122,7493,96931,46,,Aql,HD 186122
3000,186203,7497,96957,47,chi,Aql,HD 186203
3002,186408,7503,96895,16,c,Cyg,HD 186408
3003,186427,7504,96901,16,c,Cyg,HD 186427
3004,186486,7506,97077,10,,Vul,HD 186486
3005,186543,7510,97421,,nu.,Tel,HD 186543
3006,186547,7511,97139,48,psi,Aql,HD 186547
3007,186648,7515,97290,56,f,Sgr,HD 186648
3008,186675,7517,97118,15,,Cyg,HD 186675
3010,186689,7519,97229,49,ups,Aql,HD 186689
3011,186791,7525,97278,50,gam,Aql,HD 186791
3012,186882,7528,97165,18,del,Cyg,HD 186882
3013,187013,7534,97295,17,,Cyg,HD 187013
3014,187076,7536,97365,7,del,Sge,HD 187076
3016,187259,7544,97473,52,pi.,Aql,HD 187259
3018,187362,7546,97496,8,zet,Sge,HD 187362
3019,187532,7553,97650,51,,Aql,HD 187532
3020,187642,7557,97649,53,alf,Aql,HD 187642
3021,187691,7560,97675,54,omi,Aql,HD 187691
3022,187739,7561,97783,57,,Sgr,HD 187739
3023,187796,7564,97629,,chi,Cyg,HD 187796
3024,187811,7565,97679,12,,Vul,HD 187811
3025,187849,7566,97630,19,,Cyg,HD 187849
3026,187879,7567,97634,,V380,Cyg,HD 187879
3027,187929,7570,97804,55,eta,Aql,HD 187929
3028,188001,7574,97796,9,,Sge,HD 188001
3029,188056,7576,97635,20,d,Cyg,HD 188056
3030,188114,7581,98032,,iot,Sgr,HD 188114
3031,188119,7582,97433,63,eps,Dra,HD 188119
3032,188154,7584,97928,56,,Aql,HD 188154
3033,188228,7590,98495,,eps,Pav,HD 188228
3034,188260,7592,97886,13,,Vul,HD 188260
3035,188293,7593,97966,57,,Aql,HD 188293
3036,188294,7594,97967,57,,Aql,HD 188294
3037,188310,7595,97938,59,ksi,Aql,HD 188310
3038,188350,7596,97980,58,,Aql,HD 188350
3039,188376,7597,98066,58,ome,Sgr,HD 188376
3040,188512,7602,98036,60,bet,Aql,HD 188512
3041,188584,7603,98478,,mu.01,Pav,HD 188584
3042,188603,7604,98162,59,b01,Sgr,HD 188603
3043,188665,7608,97870,23,,Cyg,HD 188665
3044,188727,7609,98085,10,S,Sge,HD 188727
3045,188728,7610,98103,61,phi,Aql,HD 188728
3046,188887,7612,98624,,mu.02,Pav,HD 188887
3047,188892,7613,98068,22,,Cyg,HD 188892
3048,188899,7614,98258,61,g,Sgr,HD 188899
3049,188947,7615,98110,21,eta,Cyg,HD 188947
3050,189005,7618,98353,60,A,Sgr,HD 189005
3051,189037,7619,98055,24,psi,Cyg,HD 189037
3052,189090,7622,98234,11,,Sge,HD 189090
3053,189103,7623,98412,,the01,Sgr,HD 189103
3054,189118,7624,98421,,the02,Sgr,HD 189118
3055,189319,7635,98337,12,gam,Sge,HD 189319
3056,189410,7641,98375,14,,Vul,HD 189410
3057,189577,7645,98438,13,,Sge,HD 189577
3058,189687,7647,98425,25,,Cyg,HD 189687
3059,189741,7649,98633,63,,Sgr,HD 189741
3060,189763,7650,98688,62,c,Sgr,HD 189763
3061,189849,7653,98543,15,,Vul,HD 189849
3062,190004,7657,98636,16,,Vul,HD 190004
3063,190147,7660,98571,26,e,Cyg,HD 190147
3064,190229,7664,98754,14,,Sge,HD 190229
3065,190248,7665,99240,,del,Pav,HD 190248
3066,190299,7667,98844,62,,Aql,HD 190299
3067,190327,7669,98823,63,tau,Aql,HD 190327
3068,190406,7672,98819,15,,Sge,HD 190406
3069,190421,7673,99120,,ksi,Tel,HD 190421
3070,190454,7675,98953,65,,Sgr,HD 190454
3071,190544,7676,98583,64,e,Dra,HD 190544
3072,190608,7679,98920,16,eta,Sge,HD 190608
3073,190713,7682,98658,65,,Dra,HD 190713
3074,190940,7685,98702,67,rho,Dra,HD 190940
3075,190960,7686,98401,69,,Dra,HD 190960
3076,190993,7688,99080,17,,Vul,HD 190993
3077,191026,7689,99031,27,b01,Cyg,HD 191026
3078,191067,7690,99171,64,,Aql,HD 191067
3079,191277,7701,98962,66,,Dra,HD 191277
3080,191570,7705,99352,17,the,Sge,HD 191570
3082,191610,7708,99303,28,b02,Cyg,HD 191610
3083,191692,7710,99473,65,the,Aql,HD 191692
3084,191747,7711,99404,18,,Vul,HD 191747
3085,191753,7712,99529,1,ksi01,Cap,HD 191753
3086,191862,7715,99572,2,ksi,Cap,HD 191862
3087,192004,7718,99518,19,,Vul,HD 192004
3088,192044,7719,99531,20,,Vul,HD 192044
3089,192107,7720,99631,66,,Aql,HD 192107
3090,192425,7724,99742,67,rho,Aql,HD 192425
3091,192455,7727,99500,68,,Dra,HD 192455
3092,192514,7730,99639,30,,Cyg,HD 192514
3093,192518,7731,99738,21,,Vul,HD 192518
3094,192577,7735,99675,31,omi01,Cyg,HD 192577
3095,192640,7736,99770,29,b03,Cyg,HD 192640
3096,192666,7738,99918,3,,Cap,HD 192666
3097,192696,7740,99655,33,,Cyg,HD 192696
3098,192713,7741,99853,22,,Vul,HD 192713
3099,192806,7744,99874,23,,Vul,HD 192806
3100,192836,7746,99913,18,,Sge,HD 192836
3101,192876,7747,100027,5,alf01,Cap,HD 192876
3102,192879,7748,100062,4,,Cap,HD 192879
3103,192907,7750,99255,1,kap,Cep,HD 192907
3104,192909,7751,99848,32,omi02,Cyg,HD 192909
3105,192944,7753,99951,24,,Vul,HD 192944
3106,192947,7754,100064,6,alf02,Cap,HD 192947
3107,193150,7761,100195,7,sig,Cap,HD 193150
3108,193237,7763,100044,34,P,Cyg,HD 193237
